กขไม่กระดิกหู|noun,phrase,idiom
กตัญญูกตเวที|noun
กตัญญูรู้คุณ|adjective
กตัญญูรู้คุณ|noun
กตัญญูกตเวทิตา|noun
กติกา|noun
กติกาการแข่ง|noun
กติกาการแข่งขัน|noun
กติกาการเล่นวอลเล่ย์บอล|noun
กถา|noun,poetic
กถามุข|noun
กถึก|noun
กน|noun
ก่น|verb,transitive,adjective
ก่นโคตร|verb,phrase
ก่นด่า|verb
ก่นสร้าง|verb,transitive
ก้น|noun
ก้นกรอง|adjective
ก้นกรอง|noun
ก้นกระดก|verb
ก้นกุฏิ|adjective,idiom
ก้นขวด|noun,adjective,adverb,phrase
ก้นตะกรน|noun
ก้นตะกรน|adjective
ก้นถุง|noun
ก้นทะเล|noun
ก้นบาตร|noun,phrase
ก้นบึ้ง|noun
ก้นบึ้งของหัวใจ|phrase,poetic
ก้นบุหรี่|noun
ก้นปอด|noun
ก้นย้อย|noun
ก้นร้อน|adjective
ก้นหนัก|phrase,idiom
ก้นห้อง|noun
ก้นห้อง|noun,idiom
ก้นหอย|noun
กนก|noun,adjective
กนกนคร|noun
ก้นกบ|noun
กนกากร|noun
ก้นครัว|idiom
กนร.|noun
กนิษฐภคินี|noun
กนิษฐา|noun,poetic
กบ|noun
กบจำศีล|noun
กบดาน|verb,idiom
กบดำกบแดง|noun
กบไต๋|verb,phrase
กบไสไม้|noun
กบเหลาดินสอ|noun
กบอยู่ในกะลา|noun,phrase
กบฎ|noun
กบฏ|verb,noun
กบอ.|noun
กบาล|noun
กบาลเมือง|noun
กปช.|noun
กพช.|noun
กฟภ.|noun
กม|noun
ก้ม|verb
ก้มกราน|verb,transitive
ก้มตัว|verb
ก้มต่ำ|verb
ก้มลง|verb
ก้มหน้า|verb
ก้มหน้าก้มตา|verb,intransitive,phrase,idiom
ก้มหน้าก้มตาอ่าน|verb
ก้มหัว|verb
กม.|noun
กมธ.|noun
กมล|noun,poetic
กร|noun,particle,poetic
กรกฎ|noun
กรกฎาคม|noun
กรง|noun,classifier
กรงขัง|noun
กรงทอง|noun
กรงเล็บ|noun
กรณ์|noun,particle
กรณี|noun
กรณีจำเป็น|noun
กรณีฉุกเฉิน|noun
กรณีตัวอย่าง|noun
กรณีพิพาท|noun
กรณีศึกษา|noun
กรณีย์|noun
กรณียกิจ|noun
กรด|noun,adjective
กรดกัดแก้ว|noun
กรดกำมะถัน|noun
กรดเกลือ|noun
กรดไขมัน|noun
กรดไขมันไม่อิ่มตัว|noun
กรดไขมันอิ่มตัว|noun
กรดซัลฟิวริก|noun
กรดที่บรรจุหน่วยพันธุกรรม|noun
กรดน้ำส้ม|noun
กรดบอริก|noun
กรดฟอร์มิก|noun
กรดโฟลิค|noun
กรดแลคติค|noun
กรดไหลย้อน|verb
กรดอะเซติก|noun
กรดอะมิโน|noun
กรดไฮโดรคลอริก|noun
กรดไฮโดรไซยานิก|noun
กรน|verb,intransitive,noun
กรม|noun,verb
กรมการขนส่งทางบก|noun,phrase
กรมการขนส่งทางอากาศ|noun,phrase
กรมการค้าต่างประเทศ|noun
กรมการเงินกลาโหม|noun
กรมการปกครอง|phrase
กรมการพลังงานทหาร|noun
กรมการพัฒนาชุมชน|noun
กรมการอุตสาหกรรมทหาร|noun
กรมควบคุมและป้องกันโรค|noun
กรมเจรจาการค้าระหว่างประเทศ|noun
กรมเจ้าท่า|noun
กรมชลประทาน|noun
กรมทหารราบรักษาพระองค์|noun
กรมท่า|noun
กรมทางหลวง|noun
กรมที่ดิน|noun
กรมธนารักษ์|noun,phrase
กรมนาวิกโยธิน|noun
กรมบัญชีกลาง|noun
กรมประชาสงเคราะห์|noun
กรมพระธรรมนูญ|noun
กรมพัฒนาธุรกิจการค้า|noun
กรมยุทธศึกษาทหารบก|noun,phrase
กรมราชองค์รักษ์|noun
กรมราชทัณฑ์|noun
กรมศิลปากร|noun,pronoun
กรมศุลกากร|noun
กรมสรรพากร|noun
กรมสอบสวนคดีพิเศษ|noun
กรมสารนิเทศ|noun
กรมเสมียนตรา|noun
กรมอุทยานแห่งชาติสัตว์ป่าและพันธุ์พืช|noun,phrase
กรมธรรม์|noun
กรมธรรม์ประกันภัย|noun
กรมหลวง|noun
กรรไกร|noun
กรรไกรตัดกิ่งไม้|noun
กรรไกรตัดเล็บ|noun
กรรชิง|noun
กรรเชียง|verb,noun,idiom
กรรโชก|verb,noun
กรรณ|noun
กรรตุ|noun
กรรตุวาจก|noun,phrase
กรรตุการก|noun
กรรม|noun,particle
กรรมการ|noun
กรรมการ|noun
กรรมการผู้จัดการ|noun
กรรมเก่า|noun
กรรมฐาน|noun,phrase
กรรมใดใครก่อกรรมนั้นย่อมสนอง|idiom
กรรมตามทัน|phrase
กรรมตามสนอง|idiom
กรรมติดจรวด|noun
กรรมนิยม|adjective
กรรมพันธุ์|noun
กรรมพันธุ์|adjective
กรรมพิธี|noun
กรรมวาจก|noun,phrase
กรรมวิธี|noun
กรรมวิธีเชิงเคมี|noun
กรรมวิธีทางวิทยาศาสตร์|noun
กรรมเวร|noun
กรรมสิทธิ์|noun
กรรมกร|noun
กรรมกรอู่ต่อเรือ|noun
กรรมการก|noun
กรรมาชีพ|verb,noun
กรรมาธิการ|noun
กรรรร|interjection
กร๊วก|noun
กรวด|noun,verb,transitive,poetic
กรวดขนาดเม็ดถั่ว|noun
กรวดทราย|noun
กรวดน้ำ|verb
กรวดน้ำคว่ำขัน|phrase,idiom
กรวดในรองเท้า|noun
กร้วม|adjective,adverb,interjection
กรวย|noun
กรวยใส่ไอศกรีม|noun
กรอ|verb,adjective
กรอเทป|verb
กรอฟัน|verb
กรอม้วนวิดีโอ|verb
กรอ.|noun
กรอก|verb,transitive,noun
กรอกข้อความ|verb
กรอกความคิด|verb
กรอกตา|verb
กรอกยา|verb
กรอกรายการให้ครบ|phrase
กรอกหู|verb
กรอกเหล้า|verb
กร็อกกร๋อย|adjective
กรอกแกรก|noun
กรอง|verb,poetic,noun
กรองกระแส|noun
กรองกายภาพ|noun
กรองชีวภาพ|noun
กรองทอง|noun
กรองมาลย์|noun,adjective
กร่องแกร่ง|adjective
กรอด|adjective,verb
กร่อน|verb
กร่อนเซาะ|verb
กรอบ|adjective,noun,adverb,classifier
กรอบเช็ดหน้า|noun
กรอบติดหลังคารถ|noun
กรอบรูป|noun
กรอบแว่น|noun
กรอบหน้า|noun
กร่อย|adjective
กรอส|adjective
กระ|prefix,noun
กระจิ๋วหลิว|adjective
กระจู๋|noun
กระเจี๊ยว|noun
กระดอ|noun
กระดอน|verb,transitive
กระเด้า|verb
กระโดด|verb
กระโดดเชือก|verb
กระโดดน้ำ|verb
กระโดดร่ม|verb
กระโดดโลดเต้น|verb
กระโดดสูง|noun
กระทำ|verb
กระทำกับ|verb
กระทำการฆาตกรรม|verb
กระทำฆาตกรรม|verb
กระทำมิดีมิร้าย|verb
กระทำย่ำยี|verb,transitive
กระนั้น|adverb
กระไร|adverb
กระไร|adverb
กระไร|interjection
กระหาย|verb
กระหายข่าว|verb
กระหายความสำเร็จ|verb,phrase
กระหายน้ำ|noun,adjective
กระหายเลือด|adjective
กระหายสงคราม|adjective
กระหืดกระหอบ|verb,intransitive
กระโหล่บางตายช้ากระโหล่หนาตายก่อน|idiom
กระจก|noun
กระจกกันกระสุน|noun
กระจกข้าง|noun
กระจกเงา|noun
กระจกตา|noun
กระจกที่เต็มไปด้วยรอยร้าว|noun,phrase
กระจกนูน|noun
กระจกบังลมตอนหลังรถ|noun
กระจกบังลมหน้า|noun
กระจกแผ่น|noun
กระจกฝ้า|noun
กระจกมองหลัง|noun
กระจกเว้า|noun
กระจกส่อง|noun
กระจกส่องหลัง|noun
กระจกสี|noun
กระจกหน้าต่าง|noun
กระจกหน้ารถ|noun
กระจกหน้ารถยนต์|noun
กระจกหลัง|noun
กระจกหุง|noun
กระจง|noun
กระจอก|adjective,noun
กระจอกงอกง่อย|noun,idiom
กระจอกๆ|adjective
กระจอกข่าว|noun
กระจ้อย|adjective
กระจ้อยร่อย|adjective
กระจะ|adverb
กระจะกระจ่าง|adverb
กระจัด|verb
กระจัดพลัดพราย|verb
กระจัดกระจาย|verb
กระจับ|noun
กระจับนักมวย|noun
กระจับหุ้มอวัยวะสืบพันธุ์ของชาย|noun
กระจ่า|noun
กระจ่าง|adverb,noun
กระจ่างแจ้ง|adjective
กระจาด|noun
กระจาบ|noun
กระจาย|verb,adjective
กระจายข่าว|verb
กระจายเสียง|verb
กระจายอำนาจ|verb
กระจิดริด|adjective
กระจิตกระใจ|noun
กระจิบ|noun
กระจิบกระจอกข่าว|phrase
กระจิบข่าว|noun
กระจุก|noun,classifier,verb
กระจุกตัว|verb
กระจุกกระจิก|adjective
กระจุ๋มกระจิ๋ม|adjective
กระจุย|adjective
กระจูด|noun
กระเจอะกระเจิง|adverb
กระเจา|noun
กระเจิง|adjective,adverb
กระเจิดกระเจิง|adverb
กระเจี๊ยบ|noun
กระเจี๊ยบเขียว|noun
กระเจี๊ยบมอญ|noun
กระโจน|verb,intransitive
กระโจม|noun,verb
กระโจมทอง|noun
กระโจมที่พัก|noun
กระโจมไฟ|noun
กระฉอก|verb
กระฉอกกระแฉก|verb
กระฉ่อน|adverb
กระฉับกระเฉง|adjective,adverb
กระฉับกระแฉง|adjective
กระฉูด|verb
กระเฉด|noun
กระชอน|noun
กระชัง|noun
กระชังก้นรั่ว|noun,idiom
กระชั้น|adjective
กระชั้นชิด|adverb,phrase
กระชับ|adjective,verb
กระชับมิตร|noun,verb
กระชับมิตร|verb
กระชับวงล้อม|verb
กระชับสัมพันธไมตรี|verb,phrase
กระชับอำนาจ|verb
กระชาก|verb
กระชากวัย|verb
กระชาย|noun
กระชุ่มกระชวย|adjective
กระเชอก้นรั่ว|adjective
กระเชอก้นรั่ว|noun
กระเช้า|noun
กระเช้านางสีดา|noun
กระเช้าไฟฟ้า|noun
กระเช้าไฟฟ้า|noun
กระเช้าลอยฟ้า|noun
กระเช้าหน้ารถ|noun
กระแชง|noun
กระโชก|verb,adjective,adverb
กระโชกกระชาก|verb,transitive,idiom
กระโชกโฮกฮาก|verb,transitive,idiom
กระซิบ|verb,intransitive
กระซิบกระซาบ|verb
กระเซ็น|verb
กระเซอะกระเซิง|adjective,idiom
กระเซ้า|verb
กระเซ้าเย้าแหย่|verb,intransitive,idiom
กระเซ้ากระซี้|verb
กระแซะ|verb
กระฎุมพี|noun
กระฎุมพีชั้นต่ำ|noun
กระฎุมพีชั้นสูง|noun
กระดก|verb
กระดกกระดอน|verb
กระด้ง|noun
กระดอง|noun
กระดังงา|noun
กระดังงาจีน|noun
กระดังงาไทย|noun
กระดังงาลนไฟ|noun,idiom
กระดาก|adjective,poetic
กระดากใจ|adjective
กระด้าง|adjective
กระด้างกระเดื่อง|noun,idiom
กระด้างกระเดื่อง|verb
กระด้างกระเดื่องต่อรัฐบาล|verb,intransitive,phrase
กระด้างพัณฑ์|noun
กระดาน|noun,classifier
กระดานกระโดดน้ำ|noun
กระดานกระโดดน้ำ|noun
กระดานขาว|noun
กระดานข่าว|noun,phrase
กระดานชนวน|noun
กระดานซักผ้า|noun
กระดานดำ|noun
กระดานโต้คลื่น|noun
กระดานโต้ลม|noun
กระดานถีบ|noun
กระดานปิดประกาศโฆษณาภาพยนตร์|noun
กระดานไม้สน|noun,phrase
กระดานรองรีด|noun
กระดานลื่น|noun
กระดานเล่นสเกต|noun
กระดานหก|noun
กระดานหมากรุก|noun
กระดาษ|noun
กระดาษ๑กอง|noun,phrase
กระดาษ๑ตั้ง|noun,phrase
กระดาษ๑มัด|noun,phrase
กระดาษ๑รีม|noun,phrase
กระดาษกรอง|noun
กระดาษเขียนจดหมาย|noun
กระดาษแข็ง|noun
กระดาษชำระ|noun
กระดาษเช็ดปาก|noun
กระดาษเช็ดหน้า|noun
กระดาษตะกั่ว|noun
กระดาษถ่ายเอกสาร|noun
กระดาษทราย|noun
กระดาษทิชชู่|noun
กระดาษทิชชู่|noun
กระดาษที่ถอดออกจากแฟ้มได้|noun
กระดาษบันทึก|noun
กระดาษบันทึกข้อความ|noun
กระดาษแบบนี้กรอบเกินไป|phrase
กระดาษแผ่นหนึ่ง|noun
กระดาษพิมพ์ดีด|noun
กระดาษยับ|noun
กระดาษสา|noun
กระดาษสี|noun
กระดาษห่อของขวัญ|noun
กระดาษห้าม้วน|noun
กระดาษอลูมิเนี่ยม|noun
กระดาษเอสี่|noun
กระดิก|verb
กระดิกกระเดี้ย|verb
กระดิกกระเดี้ยไม่ได้|verb
กระดิกเท้า|verb
กระดิกนิ้ว|verb
กระดิกหาง|verb
กระดิกหู|verb
กระดิกหู|verb
กระดิ่ง|noun
กระดิ่งดังแล้ว|phrase
กระดิ่งประตู|noun
กระดี่|noun
กระดี๊กระด๊า|adjective,verb
กระดืบ|verb
กระดุม|noun
กระดุมข้อมือเสื้อเชิ้ตชาย|noun
กระดุมแป๊บ|noun
กระดูก|noun,adjective
กระดูกก้นกบ|noun
กระดูกกระเดี้ยว|noun
กระดูกข้อเข่าเสื่อม|noun
กระดูกข้อเท้า|noun
กระดูกขัดมัน|noun,idiom
กระดูกแข็ง|adjective
กระดูกแขนท่อนใน|noun
กระดูกแขนท่อนระหว่างข้อมือกับข้อศอก|noun
กระดูกเชิงกราน|noun
กระดูกน่อง|noun
กระดูกสะบัก|noun
กระดูกสะบ้า|noun
กระดูกสันหลัง|noun
กระดูกสันหลังของชาติ|noun,idiom
กระดูกสันหลังของชาติ|phrase
กระดูกหน้าแข้ง|noun
กระดูกหัก|noun
กระดูกเหล็ก|adjective
กระดูกไหปลาร้า|noun
กระดูกอ่อน|noun
กระเด้ง|verb
กระเด็น|verb
กระเด็นกระดอน|verb,intransitive
กระเดี้ย|verb
กระเดียด|verb
กระเดี้ยว|noun
กระเดือก|noun,verb
กระเดื่อง|noun,adjective
กระเดื่องใจ|adjective,poetic
กระแดะ|adjective
กระแดะกระแด๋|adjective
กระโดกกระเดก|verb,adjective
กระโดง|noun
กระโดน|noun
กระได|noun
กระต็อบ|noun
กระต๊อบ|noun
กระตั้ว|noun
กระต่าย|noun
กระต่ายขูดมะพร้าว|noun
กระต่ายชมจันทร์|noun
กระต่ายชมเดือน|noun
กระต่ายตื่นตูม|adjective,idiom
กระต่ายทั่วไป|noun
กระต่ายป่า|noun
กระต่ายหมายจันทร์|verb,idiom
กระติก|noun
กระติกน้ำ|noun
กระติกน้ำร้อน|noun
กระติบ|noun
กระตือรือร้น|adjective,noun
กระตุก|verb,noun
กระตุกกระติก|verb
กระตุ้งกระติ้ง|adjective
กระตุ้น|verb,noun
กระตุ้นการเติบโตทางเศรษฐกิจ|verb,phrase
กระตุ้นความโกรธแค้นของมวลชน|verb
กระตุ้นต่อมฮา|verb
กระตุ้นเตือน|verb
กระตุ้นประสาท|verb,adverb,phrase
กระตุ้นเศรษฐกิจ|verb
กระเตง|verb
กระเตื้อง|verb
กระแต|noun
กระโตกกระตาก|verb,idiom
กระถด|verb
กระถางต้นไม้|noun
กระถางธูป|noun
กระถิน|noun
กระเถิบ|verb
กระโถน|noun
กระทง|noun,classifier
กระทงความ|noun
กระทบ|verb
กระทบกระเทียบ|verb
กระทบกระเทือน|verb,phrase
กระทบกระแทก|adjective
กระทบไหล่|verb,transitive,phrase,idiom
กระทบไหล่คนดัง|verb
กระทบไหล่ดารา|verb,phrase
กระทบกระทั่ง|verb,noun
กระทรวง|noun
กระทรวงกลาโหม|noun
กระทรวงกะลาโหม|noun
กระทรวงการคลัง|noun
กระทรวงการต่างประเทศ|noun
กระทรวงการต่างประเทศ|noun
กระทรวงการท่องเที่ยวและกีฬา|noun,phrase
กระทรวงเกษตรและสหกรณ์|noun
กระทรวงคมนาคม|noun
กระทรวงความมั่นคงแห่งดินแดนมาตุภูมิ|noun
กระทรวงต่างประเทศ|noun
กระทรวงพาณิชย์|noun
กระทรวงมหาดไทย|noun
กระทรวงยุติธรรม|noun
กระทรวงแรงงาน|noun
กระทรวงแรงงานและสวัสดิการสังคม|noun
กระทรวงวิทยาศาสตร์เทคโนโลยีและสิ่งแวดล้อม|noun
กระทรวงศึกษาธิการ|noun
กระทรวงสาธารณสุข|noun
กระทรวงอุตสาหกรรม|noun
กระทรวงไอซีที|noun
กระท้อน|noun
กระท่อนกระแท่น|adverb
กระท่อม|noun
กระท่อมมุงแฝก|noun
กระทะ|noun
กระทะก้นแบน|noun
กระทะผสมปูนทราย|noun
กระทะล้อ|noun
กระทั่ง|preposition
กระทา|noun
กระทิง|noun
กระทิงเปลี่ยว|noun
กระทืบ|verb
กระทุง|noun
กระทุ้ง|verb
กระทุ้งเส้า|verb
กระทุ่ม|verb
กระทู้|noun
กระทู้ถาม|noun
กระเท่เร่|adverb
กระเทียม|noun
กระเทียมดอง|noun
กระเทียมใบ|noun
กระเทือน|verb
กระเทือนใจ|adjective
กระแทก|verb,transitive,intransitive
กระแทกแดกดัน|adverb
กระแทกกระทั้น|adjective,verb
กระโทงแทง|noun
กระแนะกระแหน|verb
กระบวน|noun,classifier
กระบวนการ|noun
กระบวนการทางธรรมชาติ|noun
กระบวนการยุติธรรม|noun
กระบวนการสรรหา|noun
กระบวนการสร้างและสลาย|noun,phrase
กระบวนกู้ชาติ|noun
กระบวนทหาร|noun
กระบวนทัพ|noun
กระบวนท่า|noun
กระบวนท่า|noun
กระบวนพยุหยาตราทางสถลมารค|noun
กระบวนเรือพยุหยาตราทางชลมารค|noun
กระบวนแห่ศพ|noun
กระบวนทัศน์|noun
กระบวย|noun
กระบอก|noun,classifier
กระบอกเกลียว|noun
กระบอกฉีด|noun
กระบอกตา|noun
กระบอกน้ำร้อน|noun
กระบอกปืน|noun
กระบอกสูบ|noun
กระบอกเสียง|noun,idiom
กระบอกเสียง|noun
กระบอกกรองน้ำ|noun
กระบอง|noun
กระบองเพชร|noun
กระบะ|noun
กระบังลม|noun
กระบังหน้านิรภัย|noun
กระบาก|noun
กระบาย|noun
กระบาล|noun
กระบิ้ง|noun,classifier
กระบิล|noun
กระบี่|noun,poetic
กระบี่กระบอง|noun
กระบือ|noun
กระบุง|noun
กระบุงโกย|adverb
กระบุ่มกระบ่าม|adjective
กระเบง|verb
กระเบน|noun
กระเบนเหน็บ|noun
กระเบียด|noun
กระเบียดกระเสียร|verb,adjective
กระเบื้อง|noun
กระเบื้องเคลือบ|noun
กระเบื้องซีเม็นต์ใยหินแผ่นเรียบ|noun
กระเบื้องเซรามิค|noun
กระเบื้องปูพื้น|noun
กระเบื้องยาง|noun
กระเบื้องลอน|noun
กระเบื้องลูกฟูก|noun
กระเบื้องหลังคา|noun
กระปรี้กระเปร่า|adjective
กระปลกกระเปลี้ย|adverb,adjective
กระป้อกระแป้|adverb
กระป๋อง|noun,classifier
กระป๋องน้ำมัน|noun
กระป๋องรดน้ำ|noun
กระป๋องโลหะ|noun,phrase
กระป๋องสี|noun
กระปอดกระแปด|adverb
กระปิดกระปอย|adverb
กระปุก|noun
กระปุกใส่นม|noun
กระปุกหมู|noun
กระปุกออมสิน|noun
กระปุกหลุก|adjective
กระเป๋า|noun
กระเป๋าเงิน|noun
กระเป๋าฉีก|verb,phrase
กระเป๋าดินสอ|noun
กระเป๋าเดินทาง|noun
กระเป๋าเดินทางใบใหญ่|noun
กระเป๋าเดินทางล้อลาก|noun
กระเป๋าตังค์|noun
กระเป๋าตังค์|noun
กระเป๋าถือ|noun
กระเป๋าน้ำร้อน|noun
กระเป๋าไฟฟ้า|noun
กระเป๋าสะพาย|noun
กระเป๋าสะพายหลัง|noun
กระเป๋าเสื้อ|noun
กระเป๋าเสื้อผ้า|noun
กระเป๋าใส่เศษสตางค์|noun
กระเป๋าหน้าท้อง|noun
กระเป๋าหนีบ|noun
กระเป๋าหิ้ว|noun
กระเป๋าหิ้วใส่เอกสาร|noun
กระเป๋าอุ้มเด็ก|noun
กระเป๋าเอกสาร|noun
กระโปก|noun
กระโปรง|noun
กระโปรงชั้นใน|noun
กระโปรงท้ายรถ|noun
กระโปรงรถ|noun
กระโปรงสั้น|noun
กระโปรงสุ่มไก่|noun
กระโปรงหลังรถ|noun
กระโปรงชุดติดกัน|noun
กระผม|pronoun
กระผีก|noun
กระผีกริ้น|noun
กระพง|noun
กระพรวน|noun
กระพร่องกระแพร่ง|adverb
กระพริบ|verb
กระพริบตา|verb
กระพัง|noun
กระพือ|verb
กระพือข่าว|verb
กระพือปีก|verb
กระพือโหม|verb
กระพุ้ง|noun
กระเพราไก่|noun
กระเพาะ|noun
กระเพาะคราก|noun
กระเพาะน้ำปัสสาวะ|noun
กระเพาะปลา|noun
กระเพาะอาหาร|noun
กระเพื่อม|noun
กระฟัดกระเฟียด|adverb,adjective
กระมัง|adverb,particle,noun
กระย่องกระแย่ง|adjective
กระยาง|noun
กระยาเลย|noun
กระยาหาร|noun
กระยึกกระยัก|adverb
กระรอกลายทอง|noun
กระเรียน|noun
กระวนกระวาย|verb,intransitive,adjective
กระวนกระวายใจ|adjective
กระวาด|adverb
กระวาน|noun
กระวีกระวาด|verb
กระวีกระวาด|verb
กระษาปณ์|noun
กระสร้อย|noun
กระสวน|noun
กระสวย|noun
กระสวยอวกาศ|noun
กระสอบ|noun,classifier
กระสอบทราย|noun
กระสัง|noun
กระสัน|noun,adjective
กระสับกระส่าย|adjective
กระสา|noun
กระสาย|noun,adjective
กระสุงกระสิง|verb
กระสุน|noun
กระสุนปืน|noun
กระเส็นกระสาย|adjective,adverb
กระเส่า|adjective,verb
กระเสาะกระแสะ|adjective
กระเสือก|verb
กระเสือกกระสน|adjective
กระแส|noun,poetic,verb
กระแสข่าว|noun
กระแสข่าว|noun
กระแสข่าวลือ|noun
กระแสความคิด|noun
กระแสเงินทุน|noun
กระแสเงินสด|noun
กระแสเงินสดเข้า|noun
กระแสเงินสดออก|noun
กระแสจิต|noun
กระแสดูด|noun
กระแสตรง|noun
กระแสตีกลับ|noun
กระแสธรรมชาติ|noun,phrase
กระแสน้ำ|noun
กระแสน้ำเชี่ยว|noun
กระแสไฟ|noun
กระแสไฟฟ้า|noun
กระแสแรง|adjective
กระแสลม|noun,phrase
กระแสเลือด|noun
กระแสโลก|noun,phrase
กระแสวิพากษ์วิจารณ์|noun
กระแสสลับ|noun
กระแสสินธุ|noun,poetic
กระหนาบ|adjective,verb
กระหนาบคาบเกี่ยว|verb
กระหน่ำ|verb
กระหน่ำซ้ำเติมใส่|verb,phrase
กระหน่ำซ้ำหนักหนักหน่วง|verb
กระหนุงกระหนิง|verb
กระหมวด|verb
กระหม่อม|noun,pronoun
กระหมิบ|verb
กระหมุบ|verb
กระหมุบกระหมิบ|verb
กระหยิ่ม|verb,adjective
กระหยิ่มยิ้มย่อง|adjective
กระหยิ่มยิ้มย่อง|adjective
กระหล่ำปลี|noun
กระหวัด|verb
กระหวัดถึง|verb
กระหัง|noun
กระหึ่ม|adjective
กระเหม็ดกระแหม่|adjective
กระเหี้ยนกระหือรือ|adjective
กระแห|noun
กระแหนะกระแหน|verb
กระโห้|noun
กระอัก|verb,transitive
กระอักกระอ่วน|adjective
กระอักกระอ่วนใจ|adjective
กระอักกระอ่วนใจ|verb,intransitive
กระอึกกระอัก|verb
กระแอม|verb,interjection
กระแอมกระไอ|verb,intransitive,phrase
กระไอ|noun,verb
กระไอกระแอม|verb,intransitive
กรัก|noun
กรับ|noun
กรับพวง|noun
กรัม|noun
กราก|verb,adjective,noun
กร๊าก|interjection
กร่าง|verb,intransitive,adjective,noun
กราด|adverb,verb,noun
กราดเกรี้ยว|adjective
กราน|adverb
กร้าน|adjective
กราบ|noun,preposition,verb
กราบกราน|verb,intransitive
กราบขวา|noun
กราบขวาเรือ|noun
กราบซ้าย|noun
กราบซ้ายเรือ|noun
กราบทูล|verb
กราบบังคมทูล|verb,phrase
กราบบังคมทูลพระกรุณา|verb,phrase
กราบเรียน|phrase
กราบเรียนให้ทราบ|verb,phrase
กราบลา|verb
กราบไหว้|verb,phrase
กราฟ|noun
กร๊าฟ|noun
กร๊าฟฟิค|noun
กราฟฟิตี|noun
กราฟิก|adjective
กราม|noun
กราย|verb
กราว|adjective
กราวรูด|adverb
กร้าว|adjective
กร้าวแกร่ง|adjective
กรำ|verb
กริ่ง|noun
กริ๊งกร๊าง|adverb
กริ่งเกรง|verb
กริช|noun
กริด|noun
กริบ|adverb
กริม|noun
กริ่ม|verb,intransitive
กริยา|noun
กริยาที่แบลงรูปมาใช้เป็นคำ|noun
กริยาเรียง|noun
กริยาวลี|noun
กริยาวิเศษณ์|noun
กริยาแสดงการประสบ|noun
กริยาแสดงสภาพ|noun
กริยาแสดงอาการ|noun
กริยานุเคราะห์|noun
กริยาสกรรม|noun
กริยาสภาวมาลา|noun
กริล|noun
กริ้ว|verb,intransitive
กรีก|adjective,noun
กรีซ|adjective
กรีฑา|noun
กรีฑาประเภทลาน|noun
กรีฑาประเภทลู่|noun
กรีฑาสถาน|noun
กรีด|verb,transitive,intransitive
กรีดกราด|verb
กรีดกราย|verb,intransitive
กรีดนิ้ว|verb
กรีดนิ้ว|verb
กรีดนิ้ว|verb
กรีดยาง|verb
กรีดร้อง|verb
กรี้ด|noun,interjection
